"숨김","비건옵션","행정구역1","행정구역2","이름","업태","인스타","홈페이지","트위터","소개","주소","휠체어접근","전화번호","영업시간","","","","","","","","","","","","","","",""
"","?","경기도 북부","안양","베이지밀","베이커리","beige_meal","","","주문 예약 픽업만 가능","경기 안양시 만안구 박달로479번길 7 1층 베이지밀","","010-4864-5315","12:00~18:00 (일, 월 휴무)","","","","","","","","","","","","","","",""
"","?","경기도 북부","안양","응앙응앙 비건랩","베이커리, 카페","merry.slow","","","한살림, 자연드림에서 구매한 유기농 식재료로 모든 메뉴를 직접 만듭니다.","경기 안양시 동안구 부림로 121","","031-386-0218","목,금요일 12:00 / 토(격주)10:00 open","","","","","","","","","","","","","","",""
"","N","경기도 북부","용인","뜰안채 채식뷔페","뷔페","","","","","경기 용인시 기흥구 용구대로2335번길 25","","031-281-5879","12:00 - 21:00 Break time 15:00~18:00","","","","","","","","","","","","","","",""
"","N","경상남도","거창","채식나라(거창 휴게소)","식당","","","","국내 유일 비건전문 휴게소식당","거창 휴게소","","","","","","","","","","","","","","","","","",""
"","?","경상남도","양산","그린다솜","베이커리","","http://www.tongmilbbang.co.kr/","","건강은 최고의 재산입니다. 이 재산을  잘 지키며 행복하게 사는 방법을 찾아 드립니다.","경남 양산시 상북면 수서로 282","","055-374-5208","08:00~20:00(토요일휴무)","","","","","","","","","","","","","","",""
"","N","경상남도","진주","러빙헛 코리천국점","한식, 식당","","","","","경남 진주시 도동로 238","","055-758-3504","월~금 11:30 - 22:00(last order 20:30) / 토 12:00 - 15:00 (일요일휴무)","","","","","","","","","","","","","","",""
"","?","경상남도","진주","로랩 꽃길로","베이커리, 카페","","http://www.rawlab.kr","","신선한 제철 채소, 과일, 견과류를 이용한 로푸드(Rawfood) 디저트와 음료를 제공하며 자연효소를 담은 로푸드요리를 배우는 쿠킹클래스도 진행됩니다.","경남 진주시 도동로178번길 13 1층","","010-8369-3359","11:00~18:00(부재중일 경우가 있으니 연락 후 방문 / 일요일휴무)","","","","","","","","","","","","","","",""
"","?","경상남도","진주","메르시그린","베이커리, 카페","merci__green","https://m.blog.naver.com/merci_green","","• 카톡 : 메르시그린 • 비건도 건강하게🌿","경남 진주시 남강로17번길 5-21 메르시그린","","055-747-0147","","","","","","","","","","","","","","","",""
"","N","경상남도","창원","마루프","비건마켓","vegan_maruf","http://www.mufood.co.kr/","","비건 채식마켓입니다. 전용주차장이 있습니다.","경남 창원시 의창구 신월로 10","","055-274-2111","평일 10:30 ~ 19:00 / 목요일 10:30 ~ 20:00 / 토요일 10:30 ~ 15:00 (일요일휴무)","","","","","","","","","","","","","","",""
"","?","경상남도","창원","비로소현미","베이커리","biroso.realrice","","","글루텐프리 창원빵집🍞 비로소현미🌾 🍞 창원 채식비건 베이커리 ❌밀가루,글루텐,버터,우유,계란,백설탕,팽창제 *100%유기농 국내산 현미🌾 *100%유기농 마스코바도🍭 *미네랄생수-불소미검출 *채식 비건🥦 *디카페인커피☕","","","055-601-0068","매장예약제 화~금14~18시-제품소진시마감 *일,월,공휴일 휴무","","","","","","","","","","","","","","",""
"","?","경상남도","창원","씨드","식당, 술집","","","","","창원시 중앙동 98-4 성원그랜드오피스텔 2층 201호","","0507-1370-7794","","","","","","","","","","","","","","","",""
"","N","경상남도","하동","비건테이블","식당","","","","","경상남도 하동군 화개면 용강리 141-3 KR","","070-4062-0136","","","","","","","","","","","","","","","",""
"","?","경상남도","함안","슬로우스테디","카페","slowsteady.vegan","","","조용한 골목에 자리잡은 커피집입니다. 🌿🙂 음료와 디저트 모두 비건이에요. 💚","경남 함안군 가야읍 성내남길 55","","010-3075-9317","11:00 - 21:00 everyday","","","","","","","","","","","","","","",""
"","?","경상북도","경산","새실","한식","","","","","경북 경산시 계양로70","","010-3501-0533","","","","","","","","","","","","","","","",""
"","?","경상북도","경주","경주향적원사찰음식점 불국사본점","사찰음식","","","","","경상북도 경주시 마동 953-21","","054-775-0014","","","","","","","","","","","","","","","",""
"","?","경상북도","경주","연화바루","사찰음식","","","","","경상북도 경주시 서악동 대경로 4827","","054-774-5378","12:00 - 21:00","","","","","","","","","","","","","","",""
"","?","경상북도","구미","브루네","베이커리","brune_bakery","","","""우리아이를 위한 첫번째 빵🍞"" “엄마의 마음으로 정성을 담은 정직한 빵🍞” 🚫밀가루,달걀,우유,버터,생크림,백설탕 (문의는 인스타DM 또는 문자로 주세요)","","","","월~금 AM 11시 ~ PM 6시(제품소진시 조기마감)","","","","","","","","","","","","","","",""
"","N","경상북도","구미","책봄","독립서점","bookspring","","","환경을 보호하고 동물을 사랑하는 작은 책방","구미시 금오산로22길 24-1","","","","","","","","","","","","","","","","","",""
"","?","경상북도","상주","들밥상","한식","","","","","경북 상주시 왕산로 22 태암 2차 프라임로즈 201동","","054-534-1781","","","","","","","","","","","","","","","",""
"","?","경상북도","영천","북촌한식","한식","","","","콩불고기, 콩강정, 콩탕수 등등","경북 영천시 호국로 371","","054-331-8093","","","","","","","","","","","","","","","",""
"","?","경상북도","포항","로우스윗","베이커리, 카페","low_sweet_pohang","","","동물성 재료와 첨가물이 없는 건강한 빵을 만듭니다.","경북 포항시 북구 장량중앙로 55","","054-232-4604","월~금요일 11:00-19:00(토,일요일휴무)","","","","","","","","","","","","","","",""
"","N","경상북도","포항","요산재채식","뷔페","","","","요산재는 음식에 우유나 계란은 물론 화학조미료도 넣지않는 완전채식입니다.
오늘날 우리가 안고있는 많은문제(전쟁,기아, 환경)를 극복하기위한 대안으로 채식은 일류의 문명을 변화시킬 수 있다.","경북 포항시 남구 대이로 80","","054-278-3240","월~토요일 11:30 - 21:00 / Break time 15:00~17:30 (일요일휴무)","","","","","","","","","","","","","","",""
"","N","광주","","살림채식뷔페","뷔페","","","","","광주 남구 서문대로817번길 3-6","","062-675-3552","매일 11:30 - 20:30 / Break time 14:30~17:20","","","","","","","","","","","","","","",""
"","N","광주","","수자타","사찰음식 / 뷔페","","","","광주 증심사 가는길 사찰음식 전문점 / 1인 7,000원","광주 동구 동산길7번길 3","","062-222-1145","매일 11:30 - 20:30","","","","","","","","","","","","","","",""
"","N","광주","","자연생활채식뷔페","뷔페","","","","","광주 동구 서석로85번길 12","","062-228-0485","점심 11:30 - 15:00 / 저녁 17:30 - 20:00 (금,토요일 휴무)","","","","","","","","","","","","","","",""
"","N","광주","","해뜨는집","한식","","","","","광주 남구 대남대로223번길 62-2","","062-654-3450","11:30-20:00 (토요일 휴무)","","","","","","","","","","","","","","",""
"","?","대구","","책빵 고스란히","베이커리, 카페","gosranhi_breadbook","","","‘책빵 고스란히’는 국내산 쌀, 유기농 현미, 우리 백밀, 우리 통밀로 달걀, 우유, 버터 없이 ‘자연을 닮은, 마음을 담은 빵’을 매일 만듭니다.","대구 중구 국채보상로152길 28","","010-5424-1923","12:00-19:00(일, 월요일 휴무)","","","","","","","","","","","","","","",""
"","N","대구","","러빙헛 교대점","식당","","","","","대구광역시 남구 중앙대로 217 (대명동)","","053-622-7230","오전 11시 ~ 오후 8시 30분  매주 일요일 휴무","","","","","","","","","","","","","","",""
"","N","대구","","러빙헛 로데오점","식당","","","","","대구광역시 수성구 달구벌대로504길 43 (범어동)","","053-752-6480","12:00 – 오후 8:30 매주 1,3주 일요일 휴무","","","","","","","","","","","","","","",""
"","N","대구","","러빙헛 효목점","식당","","","","","대구 동구 화랑로 25길 34","","053-744-3373","11:00-19:00 (일요일 휴무)","","","","","","","","","","","","","","",""
"","?","대구","","미타임 비건베이커리","베이커리","","","","온라인판매 / 예약 후 픽업만 가능","대구 북구 칠곡중앙대로 99길 64-1, 1층","","","","","","","","","","","","","","","","","",""
"","?","대구","","베지로운","베이커리","vegeloun_bakery","","","베지로운 8無 (백밀가루, 백설탕, 계란, 우유, 버터, 방부제, 식물성크림, GMO) 첨가되지 않아 자연스러운 단맛, 저칼로리, 소화가 잘 되는 정직한 빵입니다.","대구 동구 송라로16길 11","","010-8678-0172","화-토요일 12:00 - 19:00(일,월요일휴무)","","","","","","","","","","","","","","",""
"","N","대구","","세상을 여는 사람","식당, 카페","","","","","대구 남구 현충로 27","","053-622-5233","","","","","","","","","","","","","","","",""
"","N","대구","","수자타","한식","","","","","대구 수성구 파동로 84 대자연2차아파트","","053-767-1727","","","","","","","","","","","","","","","",""
"","?","대구","","시목약선","사찰음식","","","","","대구 중구 달구벌대로 2130-8 1층 시목약선","","053-558-3334","","","","","","","","","","","","","","","",""
"","?","대구","","제로테이블","베이커리, 카페","","https://zerotable.modoo.at/","","몸에 나쁜것을 제로로'","대구 수성구 수성로68길 35-8","","010-6581-4860","","","","","","","","","","","","","","","",""
"","?","대구","","포유키친","베이커리, 클래스","foryou_kitchen","https://m.blog.naver.com/whatwant1/221227118787","","비건빵 : 계란.버터.우유 등의 동물성유지방을 단.1%도 넣지안고 만드는 건강한빵집 입니다^^","대구 달성군 현풍읍 테크노상업로2길 8-7 ECH 1층","","010-3067-7360","11:00~17:00 (일요일휴무)","","","","","","","","","","","","","","",""
"","?","대구","","플레인플레이트","베이커리, 클래스","plainplate","","","비건베이킹, 로푸드, 채소요리 수업을 진행하며, 그린스무디, 비건 디저트 판매 합니다.","대구광역시 수성구 무학로21안길 13 1층 상가 (102호)","","010-6859-5739","","","","","","","","","","","","","","","",""
"","?","대구","","OHB행복빵","베이커리, 카페","","","","","대구 중구 달구벌대로 2136-1","","053-423-0010","08:30 - 22:00(일요일휴무)","","","","","","","","","","","","","","",""
"","?","대구","","홀즈(Hollz)","클래스, 팝업 키친","","http://blog.naver.com/qkehel","","비건 홀케이크 주문 및 문의는 카톡 주세요/ 공지 된 스케줄 (클래스. 팝업 키친 등) 외에는 / 개인적인 작업공간으로만 운영됩니다                             ","대구 북구 학정동로 66","","010-4578-8513","","","","","","","","","","","","","","","",""
"","N","대전","","그리니","베이커리(픽업), 클래스","greenie_vegan","","","🌱테이크아웃만가능, 케이크주문.픽업(월~토) /🌳비건베이커리🍀그리니🌱 에서 만드는 모든 제품은 유기농 우리밀 통밀가루 or 쌀가루,비정제설탕,현미유,코코넛오일,국산두부,무첨가 두유 등 신선한 채식위주의 재료들로 만듭니다","","","","","","","","","","","","","","","","","","",""
"","?","대전","","고요한 아침이슬","한식","calm_morning_dew","","","","대전 서구 대덕대로 408","","010-2750-1556","10:00 - 21:00(둘째, 넷째 일요일휴무)","","","","","","","","","","","","","","",""
"","N","대전","","러빙헛 송촌점","식당","","","","러빙헛 송촌점에서는 1. 비건 채식입니다. 2. 친환경 유기농 재료를 주로 사용합니다. 3. GMO와 조미료는 사용하지 않습니다. 4. 밥은 유기농 현미밥입니다. 5. 직접 담근 된장, 고추장, 간장 등을 사용합니다.. 6. 생으로 짠 들기름, 참기름, 해바라기유, 올리브유 등을 사용합니다.. 7. 100% 유기농 밀가루를 사용합니다..","대전광역시 대덕구 송촌북로 23(대덕구 중리동 493-6)","","042-934-6647","오전 11:30 – 오후 8:30  매주 일요일 휴무","","","","","","","","","","","","","","",""
"","N","대전","","세이비건","베이커리","seivegan","http://seivegan.kr/","","건강을 이롭게 만든다는 원칙아래... 알러지나 아토피가 있는 사람들이 마음놓고 먹을 수 있는 유기농 먹거리를 만들어가요. 글루텐 프리 비건 베이커 Yim.","대전 유성구 은구비서로24번길 51","","042-825-2523","월, 화요일 -  선주문 수령만 가능 / 수~금요일 13:00-16:00 / 토요일 09:00-13:00 / 일요일휴무","","","","","","","","","","","","","","",""
"","N","대전","","순수와","베이커리","soonsuwa","","","","대전 서구 도안북로118번길 31","","010-4675-2685","금, 토요일 12:00 - 16:00 (그 외엔 택배와 비건베이킹클래스만 진행)","","","","","","","","","","","","","","",""
"","?","대전","","에이블리 ","베이커리, 식당","ablelee_daejeonsi","","","","대전 유성구 전민로26번길 15","","042-862-1222","","","","","","","","","","","","","","","",""
"Y","?","대전","","인스타 @veganing.bakery","","","","","","","","","","","","","","","","","","","","","","","",""
"","N","부산","","꽃사미로; 꽃피는 4월 밀익는 5월","베이커리, 카페","april_and_may45","http://blog.naver.com/seouljoy45","","꽃피는 4월 밀익는 5월은 농부의 얼굴, 셰프의 마음을 담은 베이커리 카페입니다. 매장 한켠에서 매일 빵을 굽고 레버 머신에서 수동으로 추출한 커피를 서빙합니다. 동물이 쉬어갈 수 있는 쉼터와 경사로가 마련되어 있으며 예스키즈존입니다. 텀블러와 다회용기를 갖고 오시면 500원이 할인되며 공병을 수거해오시면 500원이 적립됩니다","부산 수영구 망미번영로60번길 12","","010-2355-2772","11:00~21:00(월요일휴무)","","","","","","","","","","","","","","",""
"","N","부산","","나유타카페","카페, 식당","nacca07","","","","부산광역시 금정구 장전동 수림로61번길 53","","010-4027-5684","12:00-15:00, 17:00-20:00, 일요일 휴무","","","","","","","","","","","","","","",""
"","N","부산","","노미트버거헬스","식당","nomeatburger","","","NO MEAT BURGER HEALTH 는 만든 자신이 매일 먹을 수 있다고 자부 할 수 있는 음식은 고객에게 자신을  가지고 권할 수 있다는 신념을 가지 재료의 손질부터 서빙까지 모든 조리 과정이 주방장 한사람의 수작업으로 완성되는 건강한 비건 요리 전문점 입니다 ","부산 해운대구 세실로 64 화목데파트 지하동 135호 노 미트 버거 헬스","","070-8692-7238","월 15:00-20:00 / 화~일요일 08:00~20:00 (매월 1~3일 휴무)","","","","","","","","","","","","","","",""
"","?","부산","","다전","식당, 전통찻집","","","","","","","051-808-6363","","","","","","","","","","","","","","","",""
"","?","부산","","달베지상점","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","부산","","대채","","daeche_","","","","","","","","","","","","","","","","","","","","","",""
"","N","부산","","러빙헛 헤어라떼","식당","","","","","부산금정구 청룡예전로 100 경동상가 3층","","0507-1366-2900","12:00~20:00 하루 전 예약해주세요  시간 조정 가능합니다  ONLY RESERVATION","","","","","","","","","","","","","","",""
"","?","부산","","로우데이","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","부산","","매초롬","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","부산","","무무버거","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","부산","","밀한줌 중앙동점","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","부산","","베지나랑","","vegenarang2","","","무오신채채식요리 : 채식케이터링","부산 수영구 광안해변로 370번길 9-32  노블스카이 9층 ","","070-4177-5555","11:30 - 21:00  연중무휴 쉬는시간 3:00-5:00 ","","","","","","","","","","","","","","",""
"","N","부산","","비건민박","","","","","","","","","","","","","","","","","","","","","","","",""
"","N","부산","","비비드","독립서점","","","","비건 퀴어 페미니즘을 주제로 한 독립서점","","","","","","","","","","","","","","","","","","",""
"","?","부산","","빵긋한 하루","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","부산","","세자매 바른빵","베이커리","sejamea","","","","부산진구 범양로 120번길 6","","010-8375-3816","","","","","","","","","","","","","","","",""
"","?","부산","","예인","식당, 전통찻집","","","","","","","051-751-3344","","","","","","","","","","","","","","","",""
"","?","부산","","이퀄베이커리","베이커리","equal_vegan_","","","","해운대 신시가지 화목데파트 상가","","","","","","","","","","","","","","","","","",""
"","?","부산","","콩스버거와 커피","","","","","","","","051-703-0990","","","","","","","","","","","","","","","",""
"","?","부산","","팜트리","한식","","","","","","","","","","","","","","","","","","","","","","",""
"","?","부산","","편한집밥","한식","","","","","","","010-4493-1488","","","","","","","","","","","","","","","",""
"","?","부산","","한민이의 마크로비오틱","카페","macrobiotic83","","","국산 앉은뱅이 통밀 사용/NO 우유,버터,계란,백설탕","","","010-2787-7868","영업시간 일-목11am~19pm,금토11am~20pm, 매주 월요일휴무 ","","","","","","","","","","","","","","",""
"","?","부산","","홈 바 앤 카페","식당, 카페","","","","","부산광역시 해운대구 중1동 중동2로26번길 5","","010-7263-1137","토일수목 17:00-00:00, 월화 휴무, 금 17:00-01:00","","","","","","","","","","","","","","",""
"","?","서울","","감골식당 (서울대)","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","굿데이서울","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","그러팡야","","","","","","","","","","","","","","","","","","","","","","","",""
"","N","서울","","남미플랜트랩","식당","nammiplantlab","","","Nammi의 모든 음료,음식은 100% 비건입니다😀","서울특별시 서초구 방배2동 방배천로4안길 55","","02-522-1276","11:00-21:00, break time: 16:00~17:30, 월요일 휴무","","","","","","","","","","","","","","",""
"","?","서울","","뉴욕비","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","러브어스","","","","","","","","","","","","","","","","","","","","","","","",""
"","N","서울","","닥터비건","","","","","","","","","","","","","","","","","","","","","","","",""
"","N","서울","","달냥","식당, 카페","dalyang_vegancafe","","","","서울 은평구 통일로 684 서울혁신파크 상상청 1층","","","월~금Mon-Fri 9:00~19:00(last order at 6:30 pm) 주말 휴무","","","","","","","","","","","","","","",""
"","?","서울","","담담","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","더로바이트윈스","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","더브레드블루","","","","","","","","","","","","","","","","","","","","","","","",""
"","N","서울","","드렁큰 비건","술집","drunkenvegan101","","drunkenvegan101","당신을 위한 비건술집","서울특별시 마포구 창전동 와우산로30길 13","","070-7543-8101","⭐️Mon, Tue Close ⭐️ Wed-Fri 17:00~23:00  Sat, Sun 12:00~23:00 Break Time 15:00~17:00","","","","","","","","","","","","","","",""
"","N","서울","","러빙헛 스마일점","식당","","","","비건채식 도시락 / 비건채식 포장케이터링이 가능합니다.  단체 주문도 가능하시구요.  비건채식 포장케이터링은 집에서 접시에 담아내 뷔페 스타일로 즐기실 수 있도록 준비해 드립니다.","서울 강남구 개포동 1171번지 (논현로 6길 18)","","02-578-0512","오전 11:30 - 오후 9:00  휴무일: 매주 첫째, 셋째, 다섯째 일요일 매주 둘째, 넷째 월요일","","","","","","","","","","","","","","",""
"","N","서울","","러빙헛 월곡","식당","","","","방문 전 미리 전화 확인 부탁드립니다.","서울 성북구 상월곡동 28-45 102호","","02-909-2158","수요일 오후 4시반-9시  금요일 오후 4시반-9시  토요일 오후 1시반-9시  일요일 오후 1시반-3시 ","","","","","","","","","","","","","","",""
"","N","서울","","러빙헛 카페","카페, 베이커리","lovinghutcafe","","","비건 케익, 비건 쿠키 & 빵 비건 아이스크림, 유기농 햄버거  유기농 커피 등을즐기실 수 있습니다.  유기농 식품, 화장품을 비롯한 다채로운 유기농 제품 등을 전시판매합니다.","서울특별시 강남구 개포로 22길 35","","02-576-2158","오전 11:00 ~ 오후 9:00 휴무: 1월 1일, 구정연휴, 추석연휴","","","","","","","","","","","","","","",""
"","?","서울","","로푸드랩","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","로푸드팜","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","르봉땅","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","마루 자연식김밥","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","마주이야기","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","마지","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","맞이한","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","모모메이드","","","","","","","","","","","","","","","","","","","","","","","",""
"","N","서울","","몽크스부처","","","","","","","","","","","","","","","","","","","","","","","",""
"","N","서울","","반","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","반창고","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","발우공양","","","","","","","","","","","","","","","","","","","","","","","",""
"","N","서울","","베제투스","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","베지그린","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","베지베어","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","베지앙","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","봉은사","","","","","","","","","","","","","","","","","","","","","","","",""
"","N","서울","","비건스페이스","","","","","","","","","","","","","","","","","","","","","","","",""
"","N","서울","","비건키친","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","빵어니스타","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","뿌리온더플레이트","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","산도토리임자탕","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","산촌 사찰음식전문점","사찰음식","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","상록원 (동국대)","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","소식","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","소이로움","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","아승지","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","아케미","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","알프리베","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","앞으로의 빵집","베이커리","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","야미요밀","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","어니스트 그린","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","어라운드 그린","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","오세계향","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","온순씨","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","온스","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","우부래도","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","원더로우","","","","","","","","","","","","","","","","","","","","","","","",""
"","N","서울","","이세계는놀이터예요","식당","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","채식주의자","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","초록뜰","","","","","","","","","","","","","","","","","","","","","","","",""
"","Y","서울","","카우떡볶이","식당","cowttebokki","","","이대 떡볶이 맛집 카우떡볶이 입니다","서대문구 대현동34-40","","","영업시간: 오전11시00분~22시30분까지 라스트오더22시 휴계시간: 없음 휴 무: 일요일휴무","","","","","","","","","","","","","","",""
"","?","서울","","카페시바","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","카페썬","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","쿡앤북","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","평화가깃든밥상","","","","","","","","","","","","","","","","","","","","","","","",""
